NAME,B19083_001E,B19082_001E,B19082_002E,B19082_003E,B19082_004E,B19082_005E,B19082_006E,state,county
"Anderson County, Texas",0.4225,4.32,9.78,15.60,23.79,46.51,18.46,48,001
"Jackson County, Texas",0.4161,3.54,10.49,16.96,23.71,45.31,18.40,48,239
"Milam County, Texas",0.4364,4.05,9.20,15.51,23.70,47.55,19.40,48,331
"Comanche County, Texas",0.4356,3.65,9.76,15.78,23.81,46.99,20.18,48,093
"Brooks County, Texas",0.4822,2.53,8.22,13.58,24.53,51.14,18.70,48,047
"Cass County, Iowa",0.4255,4.01,9.81,16.04,23.75,46.39,19.48,19,029
"Cherokee County, Iowa",0.4298,4.46,9.91,15.16,22.60,47.87,20.49,19,035
"Crawford County, Iowa",0.4883,3.08,8.90,14.28,22.26,51.47,27.86,19,047
"Des Moines County, Iowa",0.4452,3.63,9.53,15.31,23.50,48.03,21.19,19,057
"Fayette County, Iowa",0.4459,4.12,9.54,15.16,22.46,48.72,23.06,19,065
"Harrison County, Iowa",0.4022,4.13,10.43,16.91,24.13,44.40,16.70,19,085
"Kossuth County, Iowa",0.4098,4.21,10.40,16.28,23.98,45.13,18.13,19,109
"Mills County, Iowa",0.4151,4.02,10.14,16.38,24.18,45.28,18.48,19,129
"Monona County, Iowa",0.4618,3.77,8.73,14.44,23.42,49.64,22.18,19,133
"Muscatine County, Iowa",0.4153,4.14,10.26,16.17,23.97,45.46,18.72,19,139
"Osceola County, Iowa",0.4015,4.01,10.72,17.17,23.73,44.38,17.56,19,143
"Polk County, Iowa",0.4437,3.81,9.54,15.35,23.00,48.30,21.15,19,153
"Webster County, Iowa",0.4431,3.95,9.17,15.04,23.76,48.07,20.07,19,187
"Story County, Iowa",0.4643,2.66,8.41,15.44,24.82,48.67,19.40,19,169
"Woodbury County, Iowa",0.4363,3.90,9.39,15.80,23.63,47.27,20.24,19,193
"Black Hawk County, Iowa",0.4616,3.48,9.00,14.91,23.02,49.59,22.60,19,013
"Grundy County, Iowa",0.4225,4.48,10.08,15.90,22.90,46.64,20.91,19,075
"Jackson County, Iowa",0.4267,3.73,9.74,15.81,24.55,46.16,18.01,19,097
"Jones County, Iowa",0.4308,4.19,9.67,15.69,23.34,47.11,20.69,19,105
"Lee County, Iowa",0.4250,4.20,9.60,15.94,24.01,46.25,19.40,19,111
"Mitchell County, Iowa",0.4127,4.39,10.25,16.10,23.48,45.78,18.64,19,131
"Warren County, Iowa",0.4044,4.19,10.61,16.85,23.83,44.53,18.31,19,181
"Sac County, Iowa",0.4152,4.17,10.37,15.91,23.59,45.97,18.36,19,161
"Plymouth County, Iowa",0.3995,4.62,10.58,16.52,24.00,44.28,18.22,19,149
"Clay County, Iowa",0.4223,3.97,9.34,15.86,25.35,45.47,16.96,19,041
"Clinton County, Iowa",0.4241,4.10,9.63,15.45,24.58,46.24,17.75,19,045
"Smith County, Kansas",0.4650,3.69,8.94,14.23,22.87,50.27,22.41,20,183
"Grant County, Kansas",0.4092,4.01,10.35,16.22,24.31,45.12,15.98,20,067
"Kingman County, Kansas",0.4398,4.74,9.35,14.80,22.53,48.58,22.94,20,095
"Butler County, Kansas",0.4110,4.25,10.13,16.36,24.16,45.09,18.11,20,015
"Nemaha County, Kansas",0.4369,3.95,9.52,15.85,23.39,47.29,21.47,20,131
"Pottawatomie County, Kansas",0.3944,4.11,10.88,17.18,24.16,43.66,16.35,20,149
"Cherokee County, Kansas",0.4057,4.60,10.12,15.69,24.83,44.76,16.65,20,021
"Lincoln County, Kansas",0.4166,4.27,10.57,15.24,23.84,46.08,18.08,20,105
"Sumner County, Kansas",0.4219,3.65,9.43,16.60,24.94,45.39,16.82,20,191
"Trego County, Kansas",0.3655,5.84,10.58,16.92,24.95,41.71,14.20,20,195
"Wilson County, Kansas",0.4692,3.53,9.04,14.84,22.02,50.57,24.64,20,205
"Woodson County, Kansas",0.4356,4.05,8.90,15.31,25.13,46.61,18.85,20,207
"Ness County, Kansas",0.4710,3.73,9.21,14.40,21.23,51.44,25.32,20,135
"Osborne County, Kansas",0.4543,3.14,8.79,15.60,24.67,47.81,20.75,20,141
"Bourbon County, Kansas",0.4628,3.85,8.68,14.30,22.98,50.19,21.76,20,011
"Hamilton County, Kansas",0.3759,5.25,11.82,16.34,23.25,43.34,16.44,20,075
"Kiowa County, Kansas",0.4042,4.98,10.38,16.02,23.22,45.39,18.82,20,097
"Shawnee County, Kansas",0.4436,3.84,9.41,15.38,23.39,47.99,21.32,20,177
"Sherman County, Kansas",0.3563,5.27,11.56,18.70,23.41,41.05,15.08,20,181
"Thomas County, Kansas",0.4449,3.19,9.18,16.66,23.48,47.49,21.20,20,193
"Montgomery County, Kansas",0.4420,3.85,9.35,15.45,23.52,47.83,20.76,20,125
"Morris County, Kansas",0.4229,4.22,9.51,15.56,24.74,45.96,18.16,20,127
"Rawlins County, Kansas",0.4132,4.65,9.33,15.73,24.65,45.64,16.02,20,153
"Rooks County, Kansas",0.3985,4.33,10.51,16.79,24.27,44.10,16.74,20,163
"Clark County, Kansas",0.3962,4.34,10.81,16.25,25.15,43.47,16.29,20,025
"Ellsworth County, Kansas",0.4168,4.19,9.53,15.95,25.13,45.21,17.34,20,053
"Harper County, Kansas",0.4356,3.53,9.86,16.05,23.33,47.23,20.19,20,077
"Russell County, Kansas",0.3837,4.95,10.62,17.15,24.22,43.05,16.58,20,167
"Lyon County, Kansas",0.4750,3.28,9.05,14.24,22.58,50.85,24.40,20,111
"Pawnee County, Kansas",0.3939,6.08,10.19,15.03,23.51,45.19,17.94,20,145
"Allen County, Kansas",0.4337,3.78,9.46,15.89,23.97,46.89,19.57,20,001
"Comanche County, Kansas",0.4109,4.27,10.28,16.22,24.04,45.19,18.40,20,033
"Elk County, Kansas",0.4297,4.43,9.59,15.19,23.78,47.01,21.17,20,049
"Gove County, Kansas",0.4226,4.25,9.92,15.68,23.73,46.42,19.15,20,063
"Harvey County, Kansas",0.4011,4.45,10.79,16.25,23.60,44.92,17.03,20,079
"Hodgeman County, Kansas",0.4001,4.89,10.06,16.16,24.67,44.22,17.63,20,083
"Kearny County, Kansas",0.4557,3.81,9.33,14.65,22.27,49.95,21.81,20,093
"Stafford County, Kansas",0.4240,4.08,9.95,15.53,24.37,46.08,19.47,20,185
"McPherson County, Kansas",0.4152,4.21,10.22,16.24,23.61,45.72,18.81,20,113
"Osage County, Kansas",0.4120,4.20,10.16,16.64,24.09,44.92,18.93,20,139
"Greeley County, Kansas",0.3500,5.17,12.56,18.00,23.90,40.38,15.03,20,071
"Coffey County, Kansas",0.4156,4.10,9.61,16.12,25.19,44.97,17.41,20,031
"Crawford County, Kansas",0.4652,3.09,8.81,14.65,23.83,49.62,20.67,20,037
"Ellis County, Kansas",0.4855,3.21,8.18,14.60,22.44,51.58,25.25,20,051
"Greenwood County, Kansas",0.4660,4.11,9.17,14.17,21.49,51.06,24.75,20,073
"Labette County, Kansas",0.4113,4.20,9.98,16.58,24.08,45.15,18.06,20,099
"Linn County, Kansas",0.4509,3.16,8.82,15.53,24.85,47.63,19.52,20,107
"Sedgwick County, Kansas",0.4554,3.42,9.19,15.09,23.24,49.07,21.19,20,173
"Seward County, Kansas",0.4103,4.25,10.77,15.55,23.79,45.63,17.69,20,175
"Republic County, Kansas",0.4314,3.96,10.12,15.70,23.08,47.14,21.21,20,157
"Graham County, Kansas",0.4176,4.76,9.88,15.14,23.25,46.96,17.53,20,065
"Johnson County, Kansas",0.4522,4.02,9.33,14.92,22.27,49.46,22.83,20,091
"Douglas County, Kansas",0.4714,2.98,8.40,14.86,23.81,49.95,21.28,20,045
"Sheridan County, Kansas",0.4180,4.51,10.11,16.03,23.07,46.28,19.74,20,179
"Miami County, Kansas",0.4164,4.02,10.47,16.21,23.61,45.70,18.70,20,121
"Gray County, Kansas",0.3873,5.33,11.64,16.34,22.38,44.32,19.89,20,069
"Wallace County, Kansas",0.4177,4.25,9.23,16.14,25.18,45.19,17.79,20,199
"Stevens County, Kansas",0.4340,2.66,10.27,16.84,24.21,46.02,19.22,20,189
"Washington County, Kansas",0.4277,4.06,10.71,15.37,22.70,47.16,21.15,20,201
"Chautauqua County, Kansas",0.4662,3.85,8.92,14.29,22.30,50.64,23.56,20,019
"Morton County, Kansas",0.4175,3.83,10.01,15.83,25.08,45.25,16.57,20,129
"Reno County, Kansas",0.4330,4.19,9.94,15.41,22.96,47.50,21.48,20,155
"Cloud County, Kansas",0.4340,4.26,10.18,15.23,22.02,48.32,21.28,20,029
"Scott County, Kansas",0.3426,5.81,11.50,18.05,25.04,39.59,13.30,20,171
"Doniphan County, Kansas",0.4301,4.20,9.39,15.70,23.86,46.84,19.64,20,043
"Haskell County, Kansas",0.4437,4.26,9.97,14.66,21.95,49.16,22.77,20,081
"Lane County, Kansas",0.4313,3.59,8.97,16.83,24.72,45.89,19.10,20,101
"Neosho County, Kansas",0.4513,3.39,8.98,15.79,23.40,48.44,20.83,20,133
"Brown County, Kansas",0.4271,4.58,10.08,15.41,22.13,47.79,20.86,20,013
"Phillips County, Kansas",0.4020,4.94,10.68,15.80,23.44,45.14,18.62,20,147
"Riley County, Kansas",0.4754,3.08,8.76,14.34,22.78,51.05,22.10,20,161
"Decatur County, Kansas",0.4392,3.90,9.50,15.48,23.38,47.74,20.34,20,039
"Jefferson County, Kansas",0.3655,5.13,11.51,17.38,24.77,41.21,15.32,20,087
"Butler County, Kentucky",0.4487,3.42,9.05,15.06,24.41,48.07,18.97,21,031
"Edmonson County, Kentucky",0.4268,3.53,9.76,16.11,24.09,46.52,17.03,21,061
"Harrison County, Kentucky",0.4305,3.21,9.35,16.41,25.25,45.78,17.06,21,097
"Bracken County, Kentucky",0.4433,2.87,8.91,16.42,25.25,46.54,17.74,21,023
"Lyon County, Kentucky",0.4459,3.88,9.42,15.39,22.26,49.04,20.97,21,143
"Elliott County, Kentucky",0.4495,2.91,8.51,15.68,25.94,46.96,18.06,21,063
"Jefferson County, Kentucky",0.4770,3.24,8.60,14.29,22.63,51.24,22.93,21,111
"Larue County, Kentucky",0.4218,4.46,9.95,15.59,23.39,46.61,19.44,21,123
"Mason County, Kentucky",0.5079,2.79,7.41,13.19,23.31,53.30,24.40,21,161
"Mercer County, Kentucky",0.4312,3.59,9.17,16.06,25.22,45.97,17.81,21,167
"Robertson County, Kentucky",0.4812,2.12,8.01,15.24,24.20,50.43,19.40,21,201
"Russell County, Kentucky",0.4376,3.78,9.22,15.78,23.65,47.57,19.03,21,207
"Washington County, Kentucky",0.4261,4.02,9.43,15.97,24.15,46.44,18.36,21,229
"Ballard County, Kentucky",0.4617,3.33,9.01,14.37,23.27,50.03,20.06,21,007
"Barren County, Kentucky",0.4345,3.82,9.77,15.73,22.83,47.85,19.39,21,009
"Green County, Kentucky",0.5065,3.41,8.02,12.99,21.49,54.08,27.99,21,087
"Hancock County, Kentucky",0.3713,4.53,11.44,17.23,25.37,41.43,13.95,21,091
"Martin County, Kentucky",0.4491,2.83,8.48,16.32,24.94,47.43,17.17,21,159
"Hardin County, Kentucky",0.4393,3.81,9.44,15.44,23.88,47.43,20.14,21,093
"McLean County, Kentucky",0.4201,3.43,9.83,16.23,25.59,44.93,16.11,21,149
"Ohio County, Kentucky",0.4957,3.43,8.54,13.78,21.35,52.90,28.37,21,183
"Powell County, Kentucky",0.4515,3.32,8.76,15.17,25.29,47.45,20.21,21,197
"Webster County, Kentucky",0.4602,3.56,8.82,14.62,23.74,49.26,21.52,21,233
"Caldwell County, Kentucky",0.5086,3.14,8.26,13.47,20.86,54.26,29.42,21,033
"Casey County, Kentucky",0.4523,3.78,8.41,14.91,23.58,49.33,18.32,21,045
"Christian County, Kentucky",0.4557,3.37,9.39,15.01,23.02,49.20,21.55,21,047
"Grayson County, Kentucky",0.4470,3.86,9.14,14.41,24.16,48.42,19.39,21,085
"Henry County, Kentucky",0.4308,3.77,9.83,16.10,23.60,46.70,19.92,21,103
"Hopkins County, Kentucky",0.4491,3.09,8.97,15.73,24.49,47.72,19.18,21,107
"Jackson County, Kentucky",0.4579,3.23,8.36,15.52,24.41,48.48,20.23,21,109
"Laurel County, Kentucky",0.4690,3.20,8.47,14.89,23.24,50.19,21.41,21,125
"Marshall County, Kentucky",0.4372,3.67,9.19,15.67,24.76,46.71,19.11,21,157
"Meade County, Kentucky",0.4140,3.99,10.54,16.12,24.14,45.21,18.80,21,163
"Montgomery County, Kentucky",0.4390,3.70,9.48,15.27,24.18,47.37,19.57,21,173
"Nicholas County, Kentucky",0.4552,3.78,8.70,14.49,23.99,49.05,20.85,21,181
"Oldham County, Kentucky",0.4321,4.04,10.00,15.70,22.39,47.88,20.36,21,185
"Owen County, Kentucky",0.4660,3.74,8.53,14.51,22.84,50.38,22.65,21,187
"Rockcastle County, Kentucky",0.4525,3.47,8.18,15.17,24.81,48.38,17.52,21,203
"Scott County, Kentucky",0.4154,4.09,10.17,16.31,23.85,45.58,18.39,21,209
"Warren County, Kentucky",0.4769,3.30,8.75,14.46,22.28,51.22,24.21,21,227
"Allen County, Kentucky",0.4379,3.66,9.59,15.47,24.16,47.13,19.75,21,003
"Bourbon County, Kentucky",0.4526,3.59,8.71,15.27,24.36,48.08,21.23,21,017
"Boyd County, Kentucky",0.4855,2.75,8.31,14.71,23.11,51.13,23.94,21,019
"Bullitt County, Kentucky",0.3863,4.54,11.00,17.05,24.49,42.92,16.16,21,029
"Crittenden County, Kentucky",0.4595,3.44,8.63,15.09,23.62,49.22,21.27,21,055
"Fayette County, Kentucky",0.4947,2.99,8.13,13.92,22.19,52.78,24.68,21,067
"Fulton County, Kentucky",0.4807,3.00,8.07,13.65,24.27,51.01,20.28,21,075
"Johnson County, Kentucky",0.4966,2.89,7.50,13.75,23.56,52.30,22.95,21,115
"Menifee County, Kentucky",0.4163,3.61,9.24,16.94,25.78,44.43,15.56,21,165
"Clay County, Kentucky",0.4947,3.15,7.34,13.57,23.61,52.33,22.38,21,051
"Morgan County, Kentucky",0.4619,3.55,8.24,14.69,24.15,49.36,20.15,21,175
"Perry County, Kentucky",0.5073,2.65,7.27,13.45,23.12,53.51,23.08,21,193
"Wolfe County, Kentucky",0.4718,3.33,8.27,13.79,24.16,50.45,19.85,21,237
"Bell County, Kentucky",0.4975,2.83,7.73,13.63,23.08,52.73,22.60,21,013
"Breathitt County, Kentucky",0.5253,2.81,6.48,12.26,23.62,54.82,24.71,21,025
"Graves County, Kentucky",0.4691,2.92,8.58,14.87,23.83,49.80,20.92,21,083
"Hart County, Kentucky",0.4621,3.21,8.82,15.00,23.89,49.09,21.44,21,099
"Wayne County, Kentucky",0.4693,3.66,8.29,14.71,22.63,50.71,22.34,21,231
"Marion County, Kentucky",0.4454,3.76,9.10,14.52,24.57,48.05,18.92,21,155
"Trigg County, Kentucky",0.4175,4.25,9.87,16.31,23.97,45.59,19.15,21,221
"Boone County, Kentucky",0.4115,4.39,10.16,16.19,23.94,45.33,18.47,21,015
"Leslie County, Kentucky",0.4809,2.45,7.60,15.34,24.91,49.70,20.39,21,131
"Knox County, Kentucky",0.5115,2.55,7.28,13.53,23.14,53.50,24.48,21,121
"Lawrence County, Kentucky",0.5010,2.44,7.56,14.29,23.03,52.68,22.27,21,127
"Livingston County, Kentucky",0.4905,3.26,8.55,14.45,21.77,51.97,28.02,21,139
"Pike County, Kentucky",0.5090,2.57,7.64,13.51,22.62,53.66,24.55,21,195
"Shelby County, Kentucky",0.4588,3.46,8.79,15.32,23.00,49.43,21.49,21,211
"Anderson County, Kentucky",0.4073,3.95,10.51,16.44,24.62,44.48,17.06,21,005
"Breckinridge County, Kentucky",0.4250,3.78,9.32,16.33,24.82,45.74,17.62,21,027
"Franklin County, Kentucky",0.3896,4.70,10.87,16.53,24.18,43.73,16.03,21,073
"Kenton County, Kentucky",0.4485,3.60,9.29,15.41,23.28,48.42,21.20,21,117
"Madison County, Kentucky",0.4587,3.15,8.64,15.20,24.44,48.56,20.20,21,151
"Magoffin County, Kentucky",0.4943,3.17,7.63,13.49,23.52,52.19,23.37,21,153
"Owsley County, Kentucky",0.5419,2.34,5.13,11.53,25.88,55.12,21.60,21,189
"Simpson County, Kentucky",0.4316,3.74,9.87,15.82,23.57,47.00,19.47,21,213
"Taylor County, Kentucky",0.4751,3.44,8.21,14.71,22.93,50.70,23.33,21,217
"Todd County, Kentucky",0.4927,3.32,8.06,13.83,22.11,52.67,25.99,21,219
"Carlisle County, Kentucky",0.4914,3.47,8.05,13.55,22.09,52.84,25.16,21,039
"Clinton County, Kentucky",0.5176,3.44,7.69,12.76,19.99,56.12,28.27,21,053
"Gallatin County, Kentucky",0.3958,4.13,10.35,16.78,25.25,43.49,14.50,21,077
"Garrard County, Kentucky",0.4325,3.87,9.79,15.74,23.67,46.93,20.19,21,079
"Fleming County, Kentucky",0.4652,3.57,8.55,14.70,23.35,49.84,21.94,21,069
"Campbell County, Kentucky",0.4587,3.06,8.91,15.13,24.21,48.70,20.33,21,037
"Vermilion Parish, Louisiana",0.4433,3.26,9.07,15.76,24.64,47.27,18.72,22,113
"St. Charles Parish, Louisiana",0.4316,3.44,9.31,16.02,25.11,46.12,17.74,22,089
"Concordia Parish, Louisiana",0.5174,3.26,6.99,12.57,22.25,54.93,26.02,22,029
"Tensas Parish, Louisiana",0.4785,3.47,8.05,13.78,22.52,52.17,19.59,22,107
"St. James Parish, Louisiana",0.4477,3.00,8.51,15.40,25.89,47.19,16.36,22,093
"Grant Parish, Louisiana",0.4357,3.10,9.46,15.72,24.96,46.76,16.45,22,043
"Jefferson Parish, Louisiana",0.4698,3.30,8.65,14.53,23.14,50.38,21.94,22,051
"Bienville Parish, Louisiana",0.5024,2.93,7.29,12.90,23.88,52.99,22.59,22,013
"Bossier Parish, Louisiana",0.4399,3.45,9.30,15.57,24.36,47.31,18.44,22,015
"Cameron Parish, Louisiana",0.4234,4.79,9.18,15.07,24.42,46.55,18.67,22,023
"East Feliciana Parish, Louisiana",0.4508,3.26,8.66,15.46,24.47,48.15,18.46,22,037
"St. John the Baptist Parish, Louisiana",0.4534,3.21,9.11,15.52,23.64,48.52,20.35,22,095
"Plaquemines Parish, Louisiana",0.4699,2.65,8.40,15.15,24.12,49.68,19.58,22,075
"Ouachita Parish, Louisiana",0.5067,2.55,7.56,13.49,22.85,53.54,23.38,22,073
"Rapides Parish, Louisiana",0.4761,3.22,8.10,14.38,23.68,50.61,21.72,22,079
"Washington Parish, Louisiana",0.4773,3.27,7.87,14.23,23.81,50.81,20.90,22,117
"St. Landry Parish, Louisiana",0.5146,2.59,7.07,13.11,22.89,54.34,23.28,22,097
"Tangipahoa Parish, Louisiana",0.4627,3.28,8.08,14.97,24.54,49.13,19.28,22,105
"Acadia Parish, Louisiana",0.4787,3.08,7.69,13.88,24.66,50.69,19.48,22,001
"St. Mary Parish, Louisiana",0.4598,3.16,9.11,15.04,22.89,49.80,20.19,22,101
"West Carroll Parish, Louisiana",0.5079,2.97,7.38,12.96,23.25,53.44,24.72,22,123
"St. Tammany Parish, Louisiana",0.4642,3.39,8.77,14.89,23.06,49.89,21.96,22,103
"Union Parish, Louisiana",0.4849,2.76,8.04,14.67,23.18,51.36,21.81,22,111
"Caldwell Parish, Louisiana",0.5328,2.39,6.89,12.32,22.69,55.70,25.98,22,021
"Lafayette Parish, Louisiana",0.4883,2.93,7.88,14.14,23.20,51.85,22.46,22,055
"Caddo Parish, Louisiana",0.5192,2.65,7.35,13.05,22.04,54.91,25.89,22,017
"East Carroll Parish, Louisiana",0.6647,1.47,4.86,9.01,15.94,68.72,45.81,22,035
"Ascension Parish, Louisiana",0.4212,3.10,9.92,16.94,25.13,44.91,16.77,22,005
"Iberia Parish, Louisiana",0.4588,3.43,8.79,14.79,23.71,49.28,20.58,22,045
"St. Bernard Parish, Louisiana",0.4376,3.27,9.05,15.88,25.15,46.65,17.37,22,087
"St. Helena Parish, Louisiana",0.5066,2.78,7.54,13.21,23.26,53.21,24.54,22,091
"West Baton Rouge Parish, Louisiana",0.4356,3.23,9.32,15.89,25.36,46.20,17.64,22,121
"De Soto Parish, Louisiana",0.4960,2.45,7.49,14.20,23.68,52.18,21.08,22,031
"Red River Parish, Louisiana",0.5457,2.48,6.03,11.82,22.35,57.31,25.35,22,081
"Livingston Parish, Louisiana",0.4258,3.75,9.66,15.92,24.71,45.96,17.84,22,063
"Natchitoches Parish, Louisiana",0.5486,1.98,6.81,11.96,21.50,57.75,26.58,22,069
"Orleans Parish, Louisiana",0.5706,1.93,5.97,11.51,20.91,59.69,29.54,22,071
"Catahoula Parish, Louisiana",0.4745,2.90,7.54,13.85,26.20,49.51,17.67,22,025
"Calcasieu Parish, Louisiana",0.4663,3.29,8.40,14.55,23.96,49.81,20.11,22,019
"Franklin Parish, Louisiana",0.4891,2.89,7.53,13.98,24.02,51.57,21.32,22,041
"Assumption Parish, Louisiana",0.5025,2.53,7.56,13.75,23.80,52.35,23.94,22,007
"Jackson Parish, Louisiana",0.4806,2.73,7.73,14.38,24.67,50.49,19.59,22,049
"Richland Parish, Louisiana",0.4893,3.09,7.49,13.46,24.36,51.61,21.22,22,083
"St. Martin Parish, Louisiana",0.4643,3.43,8.42,14.81,23.82,49.52,21.22,22,099
"Winn Parish, Louisiana",0.4845,3.31,7.76,13.47,23.36,52.11,20.61,22,127
"East Baton Rouge Parish, Louisiana",0.5020,2.74,7.72,13.61,22.87,53.05,24.01,22,033
"Allen Parish, Louisiana",0.4686,3.97,7.87,14.10,23.63,50.43,21.45,22,003
"Madison Parish, Louisiana",0.5051,2.80,7.32,13.42,22.85,53.61,22.26,22,065
"Oxford County, Maine",0.4152,4.24,9.84,16.08,24.35,45.50,17.68,23,017
"Waldo County, Maine",0.4431,3.93,9.38,15.52,23.19,47.98,21.99,23,027
"Penobscot County, Maine",0.4540,3.44,8.82,15.25,23.98,48.51,20.53,23,019
"Androscoggin County, Maine",0.4252,3.89,9.72,15.85,24.29,46.26,18.15,23,001
"Aroostook County, Maine",0.4598,3.55,8.57,14.80,23.68,49.40,20.66,23,003
"Cumberland County, Maine",0.4543,3.42,9.27,15.28,23.01,49.02,21.60,23,005
"Knox County, Maine",0.4340,4.10,9.65,15.43,23.38,47.44,20.38,23,013
"York County, Maine",0.4328,4.04,9.77,15.72,23.23,47.24,20.85,23,031
"Franklin County, Maine",0.4309,4.18,9.53,15.58,23.58,47.14,19.89,23,007
"Somerset County, Maine",0.4440,3.59,8.91,15.71,24.19,47.60,19.46,23,025
"Worcester County, Maryland",0.4559,3.58,9.08,15.00,23.12,49.21,21.67,24,047
"Baltimore city, Maryland",0.5130,2.37,7.42,13.64,22.64,53.93,24.37,24,510
"Talbot County, Maryland",0.5266,3.06,7.52,12.70,20.47,56.26,29.48,24,041
"Harford County, Maryland",0.4150,3.76,10.13,16.64,24.49,44.99,17.79,24,025
"Howard County, Maryland",0.4038,4.20,10.75,16.47,23.96,44.62,17.64,24,027
"Anne Arundel County, Maryland",0.4112,4.32,10.42,16.24,23.58,45.44,18.79,24,003
"Baltimore County, Maryland",0.4500,3.68,9.42,15.13,22.97,48.79,21.73,24,005
"Calvert County, Maryland",0.3757,4.80,11.37,17.26,24.42,42.15,15.96,24,009
"Garrett County, Maryland",0.4380,4.01,9.46,15.10,23.91,47.53,20.34,24,023
"Montgomery County, Maryland",0.4624,3.46,9.05,14.75,22.74,50.01,22.13,24,031
"Carroll County, Maryland",0.3992,4.26,10.64,16.87,24.29,43.93,17.34,24,013
"Queen Anne's County, Maryland",0.4102,4.34,10.25,16.53,23.70,45.18,18.95,24,035
"St. Mary's County, Maryland",0.4007,4.03,10.60,17.17,24.20,43.99,17.14,24,037
"Charles County, Maryland",0.3813,4.33,11.17,17.43,24.89,42.18,15.33,24,017
"Dorchester County, Maryland",0.4789,3.22,8.56,14.53,22.66,51.02,24.36,24,019
"Washington County, Maryland",0.4462,3.65,9.25,15.32,23.52,48.26,20.33,24,043
"Wicomico County, Maryland",0.4368,3.88,9.42,15.45,23.70,47.54,19.35,24,045
"Cecil County, Maryland",0.4066,4.15,10.23,16.60,24.48,44.54,17.10,24,015
"Caroline County, Maryland",0.4331,3.93,9.84,15.30,23.75,47.18,19.80,24,011
"Suffolk County, Massachusetts",0.5365,1.85,6.52,13.30,22.86,55.47,26.03,25,025
"Barnstable County, Massachusetts",0.4589,3.72,9.05,14.90,22.67,49.66,22.78,25,001
"Dukes County, Massachusetts",0.5020,3.33,7.94,13.51,21.13,54.09,26.49,25,007
"Middlesex County, Massachusetts",0.4680,2.96,8.75,15.09,23.35,49.85,21.63,25,017
"Berkshire County, Massachusetts",0.4645,3.37,8.59,14.81,23.47,49.75,21.27,25,003
"Essex County, Massachusetts",0.4840,2.81,8.14,14.49,23.30,51.26,22.42,25,009
"Bristol County, Massachusetts",0.4563,3.15,8.63,15.46,24.33,48.43,19.85,25,005
"Hampden County, Massachusetts",0.4704,3.06,8.21,14.71,24.16,49.86,20.48,25,013
"Plymouth County, Massachusetts",0.4494,3.39,9.15,15.62,23.59,48.25,20.55,25,023
"Franklin County, Massachusetts",0.4533,3.67,9.08,15.23,23.08,48.94,21.89,25,011
"Norfolk County, Massachusetts",0.4774,3.02,8.71,14.65,22.44,51.18,23.29,25,021
"Hampshire County, Massachusetts",0.4621,3.16,8.64,15.20,23.90,49.10,21.01,25,015
"Nantucket County, Massachusetts",0.4775,3.63,8.78,14.82,20.95,51.82,26.53,25,019
"Monroe County, Michigan",0.4128,4.07,10.00,16.39,24.55,44.99,17.49,26,115
"Allegan County, Michigan",0.4053,4.47,10.51,16.40,23.71,44.91,18.41,26,005
"Hillsdale County, Michigan",0.4344,3.95,9.60,15.63,23.48,47.34,19.89,26,059
"Alger County, Michigan",0.4146,4.49,9.73,16.12,24.16,45.51,18.44,26,003
"Oceana County, Michigan",0.4224,4.30,10.03,15.80,23.38,46.49,19.60,26,127
"Leelanau County, Michigan",0.4642,4.21,9.31,14.23,21.11,51.15,25.29,26,089
"Clare County, Michigan",0.4513,3.80,9.09,14.75,23.59,48.77,20.77,26,035
"Keweenaw County, Michigan",0.4421,3.86,9.44,15.61,23.10,47.99,21.37,26,083
"Isabella County, Michigan",0.4803,2.89,8.23,14.59,23.32,50.97,22.11,26,073
"Ottawa County, Michigan",0.4144,4.46,10.42,15.99,23.18,45.95,19.77,26,139
"Tuscola County, Michigan",0.4181,4.13,10.20,15.88,23.82,45.98,18.54,26,157
"Alpena County, Michigan",0.4391,3.89,9.24,15.26,23.89,47.71,19.02,26,007
"Ionia County, Michigan",0.3950,4.32,10.69,16.79,24.75,43.45,16.67,26,067
"Midland County, Michigan",0.4743,3.50,8.78,14.29,21.97,51.45,23.51,26,111
"Berrien County, Michigan",0.4807,3.30,8.38,14.14,22.63,51.55,23.29,26,021
"Oscoda County, Michigan",0.4396,4.15,9.61,15.62,22.30,48.33,21.76,26,135
"Crawford County, Michigan",0.4070,4.02,10.37,16.65,24.30,44.66,16.80,26,039
"Clinton County, Michigan",0.4221,4.29,10.03,15.86,23.19,46.64,19.45,26,037
"Gratiot County, Michigan",0.4575,3.26,9.02,15.39,23.44,48.88,21.25,26,057
"Huron County, Michigan",0.4335,4.13,9.89,15.43,22.98,47.58,21.04,26,063
"Lenawee County, Michigan",0.4170,4.36,10.10,15.97,23.67,45.90,19.13,26,091
"Mason County, Michigan",0.4694,3.75,8.95,14.64,22.04,50.63,25.27,26,105
"Montcalm County, Michigan",0.4196,4.18,9.99,15.99,23.81,46.02,18.74,26,117
"St. Joseph County, Michigan",0.4224,4.23,10.32,15.85,23.04,46.56,20.37,26,149
"St. Clair County, Michigan",0.4327,3.87,9.61,15.64,23.93,46.95,19.39,26,147
"Washtenaw County, Michigan",0.4826,2.85,8.36,14.36,23.10,51.33,22.44,26,161
